EXP,NAME,TYPE,SUBT,RARITY,COLOR,COLORS,MANA,CMC,Legendary,P,T,OBSERVACION,FOIL,,TOTAL,10404,,,SUBTIPO,1491,% SD,,RAREZA,10390,%,,COLOR,10404,%,,COLORS,1744,%,% SD,,MV,10394,%,,Crea/MV,4779,%,% SD,,,
CNS,Deal Broker,Creature,,Rare,Artifact,,3,3,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CS,Adarkar Valkyrie,Creature,Snow,Rare,White,,4WW,6,,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CS,"Darien, King of Kjeldor",Creature,,Rare,White,,4WW,6,Legendary,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CS,Jötun Grunt,Creature,,Uncommon,White,,1W,2,,4,4,C11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CS,Jötun Owl Keeper,Creature,,Uncommon,White,,2W,3,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CS,Kjeldoran Gargoyle,Creature,,Uncommon,White,,5W,6,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CS,Ronom Unicorn,Creature,,Common,White,,1W,2,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CS,Squall Drifter,Creature,Snow,Common,White,,1W,2,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CS,Sun's Bounty,Instant,,Common,White,,1W,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CS,Sunscour,Sorcery,,Rare,White,,5WW,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CS,Swift Maneuver,Instant,,Common,White,,1W,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CS,White Shield Crusader ,Creature,,Uncommon,White,,WW,2,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CS,Woolly Razorback,Creature,,Rare,White,,2WW,4,,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CS,Commandeer,Instant,,Rare,Blue,,5UU,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CS,Controvert ,Instant,,Uncommon,Blue,,2UU,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CS,Drelnoch,Creature,,Common,Blue,,4U,5,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CS,Flashfreeze,Instant,,Uncommon,Blue,,1U,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CS,Perilous Research,Instant,,Uncommon,Blue,,1U,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CS,Rune Snag,Instant,,Common,Blue,,1U,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CS,Vexing Sphinx,Creature,,Rare,Blue,,1UU,3,,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CS,Chill to the Bone,Instant,,Common,Black,,3B,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CS,Deathmark ,Sorcery,,Uncommon,Black,,B,1,,,,Otra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CS,Garza's Assassin,Creature,,Rare,Black,,BBB,3,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CS,Grim Harvest,Instant,,Common,Black,,1B,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CS,Gutless Ghoul,Creature,Snow,Common,Black,,2B,3,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CS,Herald of Leshrac,Creature,,Rare,Black,,6B,7,,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CS,Krovikan Rot ,Instant,,Uncommon,Black,,2B,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CS,Soul Spike ,Instant,,Rare,Black,,5BB,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CS,Stromgald Crusader,Creature,,Uncommon,Black,,BB,2,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CS,Void Maw,Creature,,Rare,Black,,4BB,6,,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CS,Balduvian Rage,Instant,,Uncommon,Red,,XR,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CS,Icefall,Sorcery,,Common,Red,,2RR,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CS,Karplusan Minotaur,Creature,,Rare,Red,,2RR,4,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CS,Lightning Serpent,Creature,,Rare,Red,,XR,1,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CS,Lightning Storm ,Instant,,Uncommon,Red,,1RR,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CS,Magmatic Core,Enchantment,,Uncommon,Red,,2RR,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CS,Stalking Yeti,Creature,Snow,Uncommon,Red,,2RR,4,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CS,Surging Flame,Instant,,Common,Red,,1R,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CS,Arctic Nishoba ,Creature,,Uncommon,Green,,5G,6,,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CS,Brooding Saurian,Creature,,Rare,Green,,2GG,4,,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CS,Mystic Melting,Instant,,Uncommon,Green,,3G,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CS,Ohran Viper,Creature,Snow,Rare,Green,,1GG,3,,1,3,Otra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CS,Panglacial Wurm,Creature,,Rare,Green,,5GG,7,,9,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CS,Resize,Instant,,Uncommon,Green,,1G,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CS,Shape of the Wiitigo,Enchantment,Aura,Rare,Green,,3GGG,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CS,Sheltering Ancient,Creature,,Uncommon,Green,,1G,2,,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CS,Steam Spitter,Creature,,Uncommon,Green,,4G,5,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CS,Blizzard Specter,Creature,Snow,Uncommon,Gold,Blue/Black,2UB,4,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CS,Deepfire Elemental,Creature,,Uncommon,Gold,Black/Red,4BR,6,,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CS,"Garza Zol, Plague Queen",Creature,,Rare,Gold,Blue/Black/Red,4UBR,7,Legendary,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CS,Juniper Order Ranger ,Creature,,Uncommon,Gold,Green/White,3GW,5,,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CS,"Sek'Kuar, Deathkeeper",Creature,,Rare,Gold,Black/Red/Green,2BRG,5,Legendary,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CS,Tamanoa,Creature,,Rare,Gold,Red/Green/White,RGW,3,,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CS,Vanish into Memory,Instant,,Uncommon,Gold,White/Blue,2WU,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CS,Mishra's Bauble,Artifact,,Uncommon,Artifact,,0,0,,,,Otra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DGM,Renounce the Guilds,Instant,,Rare,White,,1W,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DGM,Riot Control,Instant,,Common,White,,2W,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DGM,Scion of Vitu-Ghazi,Creature,,Rare,White,,3WW,5,,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DGM,Mindstatic,Instant,,Common,Blue,,3U,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DGM,Runner's Bane ,Enchantment,Aura,Common,Blue,,1U,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DGM,Blood Scrivener,Creature,,Rare,Black,,1B,2,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DGM,Crypt Incursion,Instant,,Common,Black,,2B,3,,,,,FOIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DGM,Maze Rusher,Creature,,Common,Red,,5R,6,,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DGM,Punish the Enemy,Instant,,Common,Red,,4R,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DGM,Pyrewild Shaman ,Creature,,Rare,Red,,2R,3,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DGM,Mending Touch,Instant,,Common,Green,,G,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DGM,Skylasher ,Creature,,Rare,Green,,1G,2,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DGM,Advent of the Wurm,Instant,,Rare,Gold,Green/White,1GGW,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DGM,Alive // Well,Sorcery,,Uncommon,Gold,Green/White,3B//W,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DGM,Ascended Lawmage,Creature,,Uncommon,Gold,White/Blue,2WU,4,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DGM,Beck // Call,Sorcery,,Rare,Gold,Green/White/Blue,GU//4WU,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DGM,Blast of Genius,Sorcery,,Uncommon,Gold,Blue/Red,4UR,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DGM,Blood Baron of Vizkopa,Creature,,Mythic,Gold,White/Black,3WB,5,,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DGM,Boros Battleshaper,Creature,,Rare,Gold,Red/White,5RW,7,,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DGM,Breaking // Entering,Sorcery,,Rare,Gold,Blue/Black/Red,UB//4BR,8,,,,PROMO,FOIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DGM,Carnage Gladiator,Creature,,Uncommon,Gold,Black/Red,2BR,4,,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DGM,Catch // Release,Sorcery,,Rare,Gold,Blue/Red/White,1UR//4RW,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DGM,Deputy of Acquittals,Creature,,Common,Gold,White/Blue,WU,2,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DGM,Down // Dirty,Sorcery,,Uncommon,Gold,Black/Green,3B//2G,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DGM,"Exava, Rakdos Blood Witch",Creature,,Mythic,Gold,Black/Red,2BR,4,Legendary,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DGM,Far // Away,Instant,,Uncommon,Gold,Blue/Black,2B//1U,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DGM,Flesh // Blood,Sorcery,,Rare,Gold,Black/Red/Green,3BG//RG,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DGM,Gaze of Granite,Sorcery,,Rare,Gold,Black/Green,XBBG,3,,,,IDW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DGM,Give // Take,Sorcery,,Uncommon,Gold,Green/Blue,2G//2U,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DGM,Gleam of Battle ,Enchantment,,Uncommon,Gold,Red/White,4RW,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DGM,Gruul War Chant,Enchantment,,Uncommon,Gold,Red/Green,2RG,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DGM,Krasis Incubation,Enchantment,Aura,Uncommon,Gold,Green/Blue,2GU,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DGM,Lavinia of the Tenth,Creature,,Mythic,Gold,White/Blue,3WU,5,Legendary,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DGM,Master of Cruelties,Creature,,Mythic,Gold,Black/Red,3BR,5,,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DGM,"Melek, Izzet Paragon",Creature,,Mythic,Gold,Blue/Red,4UR,6,Legendary,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DGM,Morgue Burst,Sorcery,,Common,Gold,Black/Red,4BR,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DGM,Notion Thief,Creature,,Rare,Gold,Blue/Black,2UB,4,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DGM,Obzedat's Aid,Sorcery,,Rare,Gold,White/Black,3WB,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DGM,Pilfered Plans,Sorcery,,Common,Gold,Blue/Black,1UB,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DGM,Plasm Capture ,Instant,,Rare,Gold,Green/Blue,GGUU,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DGM,Progenitor Mimic,Creature,,Mythic,Gold,Green/Blue,4GU,6,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DGM,Ready // Willing,Instant,,Rare,Gold,White/Black/Green,1GW//1WB,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DGM,Render Silent ,Instant,,Rare,Gold,White/Blue,WUU,3,,,,BAB,FOIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DGM,Rot Farm Skeleton,Creature,,Uncommon,Gold,Black/Green,2BG,4,,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DGM,"Ruric Thar, the Unbowed",Creature,,Rare,Gold,Red/Green,4RG,6,Legendary,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DGM,Savageborn Hydra ,Creature,,Mythic,Gold,Red/Green,XRG,2,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DGM,Sin Collector,Creature,,Uncommon,Gold,White/Black,1WB,3,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DGM,Sire of Insanity,Creature,,Rare,Gold,Black/Red,4BR,6,,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DGM,Spike Jester,Creature,,Uncommon,Gold,Black/Red,BR,2,,3,1,Otra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DGM,Toil // Trouble,Sorcery,,Uncommon,Gold,Black/Red,2B//2R,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DGM,Trostani's Summoner,Creature,,Uncommon,Gold,Green/White,5GW,7,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DGM,Turn // Burn,Instant,,Uncommon,Gold,Blue/Red,2U//1R,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DGM,Unflinching Courage,Enchantment,Aura,Uncommon,Gold,Green/White,1GW,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DGM,"Varolz, the Scar-Striped",Creature,,Rare,Gold,Black/Green,1BG,3,Legendary,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DGM,Warleader's Helix,Instant,,Uncommon,Gold,Red/White,2RW,4,,,,PROMO,FOIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DGM,Warped Physique,Instant,,Uncommon,Gold,Blue/Black,UB,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DGM,Wear // Tear,Instant,,Uncommon,Gold,Red/White,W//1R,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DGM,Zhur-Taa Druid,Creature,,Common,Gold,Red/Green,RG,2,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIS,Azorius Herald,Creature,,Uncommon,White,,2W,3,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIS,Carom ,Instant,,Common,White,,1W,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIS,Condemn ,Instant,,Uncommon,White,,W,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIS,Guardian of the Guildpact ,Creature,,Common,White,,3W,4,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIS,Haazda Shield Mate ,Creature,,Rare,White,,2W,3,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIS,Mistral Charger,Creature,,Uncommon,White,,1W,2,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIS,Paladin of Prahv ,Creature,,Uncommon,White,,4WW,6,,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIS,Soulsworn Jury ,Creature,,Common,White,,2W,3,,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIS,Court Hussar ,Creature,,Uncommon,Blue,,2U,3,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIS,Cytoplast Manipulator,Creature,,Rare,Blue,,2UU,4,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIS,Govern the Guildless ,Sorcery,,Rare,Blue,,5U,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIS,Novijen Sages,Creature,,Rare,Blue,,4UU,6,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIS,Ocular Halo,Enchantment,Aura,Common,Blue,,3U,4,,,,,FOIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIS,Plaxmanta,Creature,,Uncommon,Blue,,1U,2,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIS,Spell Snare,Instant,,Uncommon,Blue,,U,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIS,Tidespout Tyrant,Creature,,Rare,Blue,,5UUU,8,,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIS,Crypt Champion,Creature,,Uncommon,Black,,3B,4,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIS,Delirium Skeins,Sorcery,,Common,Black,,2B,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIS,Macabre Waltz,Sorcery,,Common,Black,,1B,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIS,Nettling Curse ,Enchantment,Aura,Common,Black,,2B,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIS,Wit's End,Sorcery,,Rare,Black,,5BB,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIS,Cackling Flames,Instant,,Common,Red,,3R,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIS,Demonfire ,Sorcery,,Rare,Red,,XR,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIS,Kindle the Carnage ,Sorcery,,Uncommon,Red,,1RR,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIS,Rakdos Pit Dragon,Creature,,Rare,Red,,2RR,4,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIS,Squealing Devil,Creature,,Uncommon,Red,,1R,2,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIS,Stalking Vengeance ,Creature,,Rare,Red,,5RR,7,,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIS,War's Toll,Enchantment,,Rare,Red,,3R,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIS,Weight of Spires,Instant,,Uncommon,Red,,R,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIS,Cytoplast Root-Kin ,Creature,,Rare,Green,,2GG,4,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIS,Flash Foliage,Instant,,Uncommon,Green,,2G,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIS,Indrik Stomphowler,Creature,,Uncommon,Green,,4G,5,,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIS,Loaming Shaman,Creature,,Rare,Green,,2G,3,,3,2,C15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIS,Patagia Viper,Creature,,Uncommon,Green,,3G,4,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIS,Sprouting Phytohydra,Creature,,Rare,Green,,4G,5,,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIS,Stomp and Howl ,Sorcery,,Uncommon,Green,,2G,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIS,Æthermage's Touch,Instant,,Rare,Gold,White/Blue,2WU,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIS,Assault Zeppelid ,Creature,,Common,Gold,Green/Blue,2GU,4,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIS,Azorius First-Wing,Creature,,Common,Gold,White/Blue,WU,2,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIS,Azorius Guildmage ,Creature,,Uncommon,Gold,White/Blue,(W/U)(W/U),2,,2,2,PROMO,FOIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIS,Biomantic Mastery,Sorcery,,Rare,Gold,Green/Blue,4(G/U)(G/U)(G/U),7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIS,Bound // Determined,Instant,,Rare,Gold,Black/Green/Blue,3BG//GU,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIS,Coiling Oracle,Creature,,Common,Gold,Green/Blue,GU,2,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIS,Crime // Punishment ,Sorcery,,Rare,Gold,White/Black/Green,3WB//XBG,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIS,Cytoshape ,Instant,,Rare,Gold,Green/Blue,1GU,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIS,Experiment Kraj ,Creature,,Rare,Gold,Green/Blue,2GGUU,6,Legendary,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIS,Grand Arbiter Augustin IV,Creature,,Rare,Gold,White/Blue,2WU,4,Legendary,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIS,Hellhole Rats ,Creature,,Uncommon,Gold,Black/Red,2BR,4,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIS,Hide // Seek,Instant,,Rare,Gold,Red/White/Black,RW//WB,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIS,Hit // Run,Instant,,Uncommon,Gold,Black/Red/Green,1BR//3RG,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIS,Leafdrake Roost,Enchantment,Aura,Uncommon,Gold,Green/Blue,3GU,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIS,"Lyzolda, the Blood Witch ",Creature,,Rare,Gold,Black/Red,1BR,3,Legendary,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIS,Minister of Impediments,Creature,,Common,Gold,White/Blue,2(W/U),3,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIS,Odds // Ends,Instant,,Rare,Gold,Blue/Red/White,UR//3RW,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIS,Overrule,Instant,,Common,Gold,White/Blue,XWU,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIS,Pain Magnification ,Enchantment,,Uncommon,Gold,Black/Red,1BR,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIS,Palliation Accord,Enchantment,,Uncommon,Gold,White/Blue,3WU,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIS,Plaxcaster Frogling ,Creature,,Uncommon,Gold,Green/Blue,1GU,3,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIS,Plumes of Peace ,Enchantment,Aura,Common,Gold,White/Blue,1WU,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIS,Pride of the Clouds,Creature,,Rare,Gold,White/Blue,WU,2,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIS,Pure // Simple,Instant,,Uncommon,Gold,Red/Green/White,1RG//1GW,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIS,Rakdos Augermage,Creature,,Rare,Gold,Black/Red,BBR,3,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIS,Rakdos Guildmage,Creature,,Uncommon,Gold,Black/Red,(B/R)(B/R),2,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIS,Rakdos Ickspitter,Creature,,Common,Gold,Black/Red,1BR,3,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIS,Research // Development,Instant,,Rare,Gold,Green/Blue/Red,GU//3UR,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIS,Rise // Fall,Sorcery,,Uncommon,Gold,Blue/Black/Red,UB//BR,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIS,Shielding Plax ,Enchantment,Aura,Common,Gold,Green/Blue,2(G/U),3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIS,Sky Hussar,Creature,,Uncommon,Gold,White/Blue,3WU,5,,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
